nid,latitude,longitude,distance
49094363,32.74651,-117.058502,4070.986
49094368,32.746216,-117.057503,4181.958
49094371,32.780834,-117.069656,4987.509
49290993,32.76722,-117.09034,2779.846
49291009,32.770668,-117.062149,3097.249
49291016,32.771553,-117.062737,3049.539
49618729,32.75869,-117.05822,3101.787
48963468,32.7683616,-117.1046544,4684.251
48963470,32.7684564,-117.1047455,4697.804
3352829888,32.7726203,-117.0707224,2465.059
49094780,32.764248,-117.089752,2431.642
49094788,32.765808,-117.090202,2636.568
49160530,32.77433,-117.060204,3991.978
49160545,32.775337,-117.061043,4132.634
49160548,32.769775,-117.060677,3204.987
49160549,32.770592,-117.060448,3298.322
49160551,32.771084,-117.060371,3358.851
49160554,32.768627,-117.059387,3194.281
49160559,32.769665,-117.06012,3258.483
49291657,32.7793151,-117.0911298,3173.888
49488282,32.770706,-117.06723,2581.47
49488294,32.7731143,-117.0669783,2851.794
49488317,32.7767822,-117.0676065,3108.154
49422811,32.777302,-117.085426,3229.573
49422820,32.7789618,-117.0851639,3455.539
296872481,32.7718514,-117.0656983,2854.774
49095231,32.7714654,-117.0918653,3057.308
49619564,32.761349,-117.077713,1169.926
2139628457,32.7526457,-117.0719612,2352.328
2139628461,32.7526243,-117.0715871,2360.113
49161149,32.749538,-117.091988,3072.759
49095673,32.780506,-117.061836,4513.79
380183789,32.7512736,-117.1094704,4410.146
49292533,32.742683,-117.061203,4733.062
380183807,32.7400654,-117.1018566,4990.525
49554741,32.757957,-117.052338,4428.449
49554762,32.772289,-117.051628,4153.983
49554767,32.769184,-117.051498,3808.493
3458934108,32.7406822,-117.0930108,4187.111
3458934113,32.7410355,-117.0929981,4162.606
3458934114,32.7410837,-117.093338,4129.524
49292882,32.7691113,-117.0964523,3703.867
49292888,32.7671494,-117.0962126,3482.77
49292894,32.7660192,-117.0966042,3614.418
4343146259,32.7396671,-117.1010131,4896.581
4343146260,32.7400262,-117.1010118,4856.651
49227788,32.7674124,-117.0563912,3708.135
49227789,32.7677214,-117.0565796,3746.747
49162267,32.7752509,-117.0456305,4944.009
49096745,32.777,-117.100761,4366.204
49096747,32.7758266,-117.0998016,4207.601
49096752,32.7760361,-117.0993934,4115.29
49096759,32.7734107,-117.0982248,4436.937
49096761,32.7732867,-117.0981964,4450.979
49358964,32.7384005,-117.0965703,4668.603
49358965,32.7363573,-117.0966647,4906.578
49358966,32.755417,-117.096909,2806.489
49358967,32.7421,-117.096619,4256.66
49358970,32.747711,-117.096603,3632.717
49358972,32.7513994,-117.0965581,3222.564
49358974,32.755474,-117.096519,2769.472
49096882,32.732903,-117.085854,4301.232
49096886,32.733669,-117.084534,4472.735
49096888,32.734013,-117.084251,4519.679
