nid,lat,lon
49283614,32.7076996,-117.0850262
49283613,32.7059265,-117.085039
49283617,32.7086497,-117.0849841
49611299,32.681251,-117.0265068
49283620,32.7104111,-117.084988
49283621,32.7123858,-117.085084
49611300,32.681332,-117.025963
49283623,32.7137617,-117.0850486
49283624,32.716732,-117.0849292
49283625,32.7169909,-117.0849177
49611303,32.731846,-117.032837
49152561,32.629436,-117.015953
49283635,32.7214225,-117.0849376
49218100,32.692402,-117.033371
49283638,32.7223186,-117.0849828
49152567,32.628593,-117.016388
49611320,32.654236,-117.055443
49283641,32.7241213,-117.0849753
49218107,32.691189,-117.032051
49283646,32.7964055,-116.9146368
6255280702,32.7290381,-117.1899199
6255280707,32.7296342,-117.1910369
6255280708,32.7295602,-117.1910352
4616487494,32.6183834,-117.1340124
49283656,32.7954867,-116.9141885
4616487496,32.618491,-117.1340372
49611339,32.642326,-116.964813
49283660,32.793297,-116.910652
49087056,32.790749,-116.9315478
49283668,32.7920232,-116.9089861
49414741,32.778229,-116.9278928
49087060,32.791203,-116.929192
49611350,32.651478,-117.081581
370213464,32.7507351,-117.1092739
4616487513,32.6209601,-117.1345625
49087065,32.7235463,-116.9197864
49283675,32.791237,-116.906067
370213465,32.7497594,-117.1092792
49283677,32.79108,-116.90464
49611356,32.61562,-117.068336
49611358,32.614063,-117.067741
49283680,32.79108,-116.903931
4616487521,32.6184562,-117.1350476
49611360,32.612331,-117.06707
4616487523,32.6208998,-117.134473
49611362,32.610615,-117.066406
49087077,32.6872662,-117.0436505
358285926,32.7040574,-117.1016245
49283687,32.791328,-116.900803
49611367,32.633629,-117.075111
49218152,32.7191,-116.92677
49087081,32.685768,-117.042191
49087082,32.684898,-117.041901
49087084,32.684128,-117.041733
49087085,32.683311,-117.041573
49146424,32.782959,-116.917236
49152625,32.663975,-116.977623
49611377,32.632374,-117.07415
277348979,32.7486781,-117.1083689
277348980,32.7497483,-117.1082854
49611378,32.628052,-117.072456
49087096,32.795898,-117.175491
49152633,32.662914,-116.977509
49087097,32.795853,-117.174637
49283711,32.742126,-117.0923
49480319,32.728436,-116.998154
49283713,32.742702,-117.092308
49152645,32.662369,-116.975937
49283718,32.745617,-117.092323
49152647,32.662338,-116.974968
49283717,32.744473,-117.092331
49283721,32.747368,-117.0923
49283722,32.747673,-117.0923
49283723,32.748447,-117.092293
49283720,32.746609,-117.092308
49283725,32.7513657,-117.0922468
49283728,32.7560685,-117.0921976
49676945,32.73708,-117.004646
49611414,32.641865,-117.077858
49283736,32.675877,-117.079498
49611416,32.639278,-117.07682
3377791640,32.7859509,-116.9307625
3377791642,32.7880652,-116.9460767
49152668,32.763741,-116.988983
49611422,32.6232431,-117.0705634
