from,to,length,base_speed,oneway
5263061297,6382878995,131.191,25.0,False
3782888448,6382878995,95.005,25.0,False
6382878996,6382878995,36.824,25.0,False
6382879009,6382878996,23.771,25.0,False
6382879011,6382878996,40.033,25.0,False
6382879004,6382879003,65.251,25.0,False
6382879009,6382879003,96.535,25.0,False
6382879009,6382879003,204.145,25.0,False
6382879013,6382879004,55.57,25.0,False
6382879011,6382879004,96.678,25.0,False
6382879013,6382879005,20.162,25.0,False
6382879012,6382879008,20.639,25.0,False
6382879012,6382879011,55.236000000000004,25.0,False
49348902,49348900,123.42200000000001,25.0,False
6382879013,6382879012,96.37,25.0,False
48972961,49086759,199.689,25.0,False
49167770,49152297,99.671,25.0,False
49091065,49152297,280.153,25.0,False
49505984,49152297,150.00600000000003,25.0,False
4341498154,6050254514,10.497,25.0,True
4341498154,1744991310,190.696,25.0,True
4341505019,4341498154,47.592,25.0,True
1744991317,4341498154,12.498,25.0,True
49086763,49086761,122.57600000000001,25.0,False
49087869,49086761,107.98700000000001,25.0,False
49192883,49086761,170.192,25.0,False
49086764,49086763,58.174,25.0,False
49379869,49086763,164.128,25.0,False
48871304,49086763,64.252,25.0,False
49086766,49086764,55.476000000000006,25.0,False
49301497,49086764,165.19799999999998,25.0,False
49076741,49086766,60.736999999999995,25.0,False
49219495,49086766,69.27000000000001,25.0,False
49220890,49086766,126.257,25.0,False
49076741,49086767,119.999,25.0,False
1188763120,49086767,94.351,25.0,False
49219484,49086767,84.926,30.0,False
49406905,49086767,85.575,30.0,False
49086768,49219487,87.598,25.0,True
1188763120,49086768,13.559000000000001,25.0,False
49086769,49086768,105.48100000000001,25.0,False
49389073,49086768,83.195,25.0,True
49353189,49086769,82.40700000000001,25.0,False
49086770,49086769,106.88,25.0,False
49219489,49086769,87.41199999999998,25.0,False
49086770,49007527,86.21199999999997,25.0,True
49190262,4341498165,103.13,25.0,False
4341498165,49344871,95.659,25.0,True
49344871,4341498165,93.498,25.0,True
49086775,49086774,89.484,25.0,False
49219471,49086774,84.38799999999999,25.0,False
777387210,49086774,100.041,25.0,False
49219462,49086777,45.744,25.0,False
49086777,48914010,154.922,25.0,True
49348926,49348924,53.34,25.0,False
49223736,49348924,42.265,25.0,False
49137761,49348924,136.80100000000002,25.0,False
49571694,49348924,29.261,25.0,False
49734576,49348926,33.317,25.0,False
49348935,49348926,139.174,25.0,False
49509830,49152319,51.376000000000005,25.0,False
49098205,49152319,71.968,25.0,False
49509825,49152319,88.609,25.0,False
49460838,49480007,134.755,25.0,False
49396074,49480007,197.315,25.0,False
49571918,49480007,92.506,25.0,False
49137761,49348935,315.83199999999994,25.0,False
49137761,49348935,206.901,25.0,False
49047914,49348938,123.955,25.0,False
49086799,49086798,401.24199999999996,25.0,False
49438496,49086798,104.213,25.0,False
49542792,49086798,103.457,25.0,False
49236107,49086799,101.98299999999999,25.0,False
3570881696,49086799,303.824,25.0,False
49236110,49086799,106.28299999999999,25.0,False
48890205,48890204,89.4,25.0,False
49346700,48890204,177.107,25.0,False
6377443475,48890204,66.888,25.0,False
49354505,49086814,17.063,25.0,False
49461849,49086814,35.074,25.0,False
49086817,49086814,109.54700000000001,25.0,False
1164674999,1164674925,41.577,25.0,False
1164675285,1164674925,90.727,25.0,False
1164675125,1164674925,75.512,25.0,False
49082537,49348962,226.40599999999998,25.0,False
49082536,49348962,323.658,25.0,False
49653206,49348962,105.317,25.0,False
49021285,3379002401,405.75,40.0,True
304728677,49021285,45.007,40.0,True
296869755,49021285,47.675,25.0,True
1164670790,1164674927,49.598,25.0,False
1164675021,1164674927,116.146,25.0,False
1164675169,1164674927,96.964,25.0,False
1164675045,1164674927,44.339,25.0,False
49086827,49086825,52.856,25.0,False
49210273,49086825,381.59,25.0,False
49618604,49086825,381.944,25.0,False
49389791,49086827,25.934,25.0,False
49670444,49086827,48.513999999999996,25.0,False
49247387,49414511,174.959,25.0,False
49086835,49086831,83.515,25.0,False
49217907,49217905,76.89699999999999,25.0,False
49094390,49217905,98.07,25.0,False
49053263,49217905,246.625,25.0,False
1164675125,1164674929,50.726000000000006,25.0,False
1164674911,1164674929,63.078,25.0,False
1164675265,1164674929,56.588,25.0,False
49056374,49217907,91.281,25.0,False
49053265,49217907,232.648,25.0,False
49368908,49086835,128.124,25.0,False
49091044,49086835,74.467,25.0,False
49480060,49480055,62.148,25.0,False
49112942,49480055,438.491,25.0,False
49334533,49480055,207.616,25.0,False
49056374,49217913,193.326,25.0,False
49582767,49217913,146.85,25.0,False
49094394,49217913,83.213,25.0,False
