from,to,length
277348979,4343291726,106.269
277348979,4343291730,104.891
277348980,1229060821,184.764
4343291730,277348980,15.959
4343291759,277348980,88.278
49106249,49611378,200.341
49423844,49611378,407.263
49386210,49611378,99.275
49623141,49611378,98.528
49087097,49087096,79.981
49107094,49087096,77.305
49068309,49087096,75.844
49350983,49087096,174.922
49064642,49152633,78.326
49149971,49152633,70.468
49175360,49152633,63.051
49283713,49283711,64.053
49217519,49283711,202.274
49443561,49283711,52.188
49294906,49480319,45.743
49144871,49283713,136.221
49067014,49283713,82.754
49152647,49152645,90.775
49064642,49152645,89.7
49776770,49152645,169.562
49152998,49283718,26.687
49283717,49283718,127.209
49658116,49283718,208.742
49324861,49152647,527.241
49653279,49152647,126.49
49144871,49283717,60.717
49152994,49283717,224.927
49283722,49283721,33.915
49283720,49283721,84.4
49631960,49283721,352.296
49283723,49283722,86.067
49631922,49283722,101.386
49251176,49283723,121.767
49283723,49631960,427.175
49152998,49283720,83.63
49144874,49283720,411.591
49116240,49283725,193.407
49283725,49120859,99.881
49251176,49283725,202.808
49515108,49283725,101.294
49460436,49283728,70.446
49120861,49283728,101.78
49039556,49283728,328.329
49224726,49283728,125.366
49525470,49676945,143.737
49432951,49611414,110.217
48946624,49611414,197.937
49386221,49611414,102.647
49743078,49611414,100.217
49483401,49283736,61.792
48956445,49283736,92.521
49135965,49283736,204.646
49087664,49283736,81.765
4589804599,49611416,47.88
49432614,49611416,101.074
49112914,49611416,198.771
49386228,49611416,111.955
49245125,3377791640,108.185
49099020,3377791642,44.664
3377791642,3377791642,150.838
49152671,49152668,52.622
49485559,49152668,215.879
49391974,49152668,100.123
49611425,49611422,29.392
49346154,49283744,52.179
49222190,49283744,101.518
49135965,49283744,200.284
49283745,49283744,203.651
49445964,49283745,158.003
49283747,49283745,200.021
49448447,49611425,91.782
49112930,49611425,194.014
49152685,49152675,201.681
49492335,49152675,164.752
49461280,49152675,303.43
49274354,49283747,197.951
49283756,49283747,304.737
49079460,49283756,248.789
4341850553,49283756,607.783
49621684,49283756,350.092
49175169,49152685,74.212
49492335,49152685,140.402
49676981,49676979,27.035
49676992,49676981,146.301
49677029,49676981,65.957
49676994,49676992,56.83
49677002,49676992,48.832
49677018,49676994,46.525
49677008,49676994,145.172
49480394,49480392,283.428
49459187,49414858,401.821
49393752,49414858,58.987
49542041,49414858,515.615
49677005,49677004,49.697
49677039,49677004,27.083
49677029,49677004,39.399
49677025,49677005,50.841
49677008,49677005,51.242
49442852,49480394,78.507
49083620,49480394,57.05
49215446,49480394,57.799
49414864,49414863,85.752
49328052,49414863,61.376
49695625,49414863,32.841
49677022,49677008,44.531
49259252,660538063,46.415
49069392,49480400,80.174
49442852,49480400,72.944
49480400,49190422,114.268
49480411,49480405,207.829
316685239,49480405,194.882
1190499411,49480405,118.081
49363703,49480411,208.093
49190429,49480411,115.591
1190499409,49480411,119.697
48956128,48956132,240.325
48956128,1835257830,435.197
296263685,48956128,231.768
48956132,48949146,673.178
48956132,48943123,367.351
49058102,49677029,40.747
49087209,49087206,329.013
49480427,49480424,87.847
49460715,49480424,208.292
49190438,49480424,114.834
49435200,49480424,115.582
49222631,49087209,64.776
49407201,49087209,53.013
2436258937,49087210,251.047
49280681,49087210,416.341
49333741,49087210,70.997
49260598,49480427,120.869
49480427,49190440,139.471
49435200,49480427,146.329
2436258937,49087213,57.683
49304537,49087213,175.154
