from,to,weight
49518616,49283849,3.16976
49027314,49283850,4.03672
49476092,49283850,3.9692
49259659,49283850,2.3558
49680575,49087241,32.29696
4591514044,49087241,7.93188
49309986,49152780,3.0306
49309972,49152780,15.45156
49112607,49349385,4.90892
49454666,49087246,8.00596
49087248,49087246,4.59968
49304067,49087246,5.0536
49124079,49087246,7.5182
49367643,49152783,1.69412
49112234,49152783,7.36788
49051669,49152783,14.20716
49556462,49087248,7.95492
49087250,49087248,4.58468
49124080,49087248,7.5928
49527134,49087250,8.01056
49087252,49087250,4.64408
49124081,49087250,7.5746
49556468,49087252,8.02372
49087254,49087252,4.69228
49124082,49087252,7.52568
49152791,49152789,3.83492
49112234,49152789,0.59908
49244182,49152789,7.93736
49064423,49283861,1.91516
49283861,1364076167,1.15056
1364076172,49283861,1.23328
49152793,49152791,2.82568
49723083,49152791,7.52616
49508428,49283863,3.17044
49108100,49283863,0.52184
49064423,49283863,4.05636
49723084,49152793,7.6868
49502142,49087254,8.07248
49087256,49087254,4.6754
49124086,49087254,6.74828
49556475,49087256,8.08288
49087258,49087256,4.49504
49124089,49087256,7.1598
49386265,49087258,8.04804
49087260,49087258,4.74996
49124090,49087258,7.78584
4619366288,4619371293,5.54744
4601390290,4619371293,4.71684
6335098638,4619371293,19.7974
49300453,49087260,8.08648
49087262,49087260,5.06208
2450051544,49087260,4.81288
49113854,49480477,2.42812
49064043,49480477,4.20724
49435206,49480477,4.64516
3629965983,358286110,1.3956
49321122,358286110,6.48716
49207051,358286110,8.189
49267735,49087265,1.97996
49087268,49087265,4.62668
49087264,49087265,5.03712
49556484,49087262,6.21596
49087264,49087262,5.0998
49677091,49313719,3.33288
49677091,49099167,4.81004
49295400,49677091,3.40768
49337548,49677091,4.48528
49227246,49087264,4.06892
49480482,49480481,6.6852
49480481,49243371,18.56164
49337695,49480481,4.63232
49480484,49480482,7.12544
49582827,49480482,4.577
49337696,49480482,4.62852
276103971,49757077,11.52018462
49757053,276103971,14.86953846
49052325,49480484,7.04092
49538980,49480484,4.54676
49337698,49480484,4.63284
49087270,49087269,3.08328
49087268,49087269,3.31948
49115005,49087269,2.13188
49115007,49087269,9.62708
49087271,49087270,3.10472
49124530,49087270,2.0764
49124532,49087270,9.68408
49559272,49087271,4.94244
49053740,49087271,1.4424
49076635,49087272,1.20136
49087282,49087272,21.50992
49269684,49087272,13.87252
48904950,49152813,7.48568
49152959,49152813,0.64492
49152817,49152813,4.10764
48968751,49480487,4.0802
49021910,49480487,2.37628
49052325,49480487,7.08984
49229717,49152817,8.12612
49144754,49152817,8.00604
49152819,49152817,4.02536
49238576,49087282,1.53932
49087299,49087282,18.07612
49616180,49152819,8.12612
49144756,49152819,8.02384
49152823,49152819,3.93832
49414968,49414966,3.15676
49049844,49414966,1.95952
49375614,49414966,12.54564
49174531,49152823,8.07144
49144761,49152823,8.06824
49152827,49152823,3.9196
49498516,49414968,2.68324
49415074,49414968,3.29532
49152967,49152827,2.18352
49249698,49152827,8.08212
49414976,49414978,3.36064
49414976,49099163,4.66544
49426598,49414976,4.56356
49344772,49414976,3.45724
380183763,49152833,2.28656
49152833,49152935,3.17044
49414978,49295395,3.40152
49414978,49746189,4.59956
49099164,49414978,4.66044
49087303,49087299,8.96788
49056236,49087299,6.90732
49096121,49087299,6.1794
380183763,49152836,2.36324
380183763,49152836,13.30512
49428910,49152836,8.3176
49152839,49152836,4.6244
49414980,49313714,3.41684
49414980,49746191,4.70816
49295395,49414980,3.39576
49099167,49414980,4.65712
49393239,49152839,8.31492
380183764,49152839,2.01144
49118053,49152839,4.59744
49414983,49099170,4.59916
49414983,1357333682,3.14912
49120834,49414983,3.37608
49466663,49414983,4.64836
49398928,49480522,8.45164
49376943,49480522,3.68312
49625712,49480522,3.25772
49338427,49480522,6.61872
49515219,49152843,8.31108
49144741,49152843,8.32
49152846,49152843,4.62436
49118053,49152843,4.62024
49582802,49414989,4.64808
49061908,49414989,5.80772
49337746,49414989,3.39912
49099173,49414989,4.61696
49152847,49152846,2.3008
49352691,49152846,8.30896
49144742,49152846,8.31492
4626056025,4626056015,5.6794
49338427,49480529,1.68348
49704260,49480529,4.61448
49480534,49480529,4.34148
49480539,49480534,4.41364
49284101,49480534,10.3938
49095721,4626056025,14.0652
49172347,4626056025,4.30808
49631908,49152858,8.3004
49152862,49152858,4.68396
49144827,49152858,8.3494
49617012,49480539,4.02756
49617011,49480539,2.99876
49081744,49480539,16.95292
49401476,49415005,1.568
49144828,49152862,8.33116
49410255,49152862,8.29536
49152864,49152862,4.53808
49144831,49152864,8.39156
49152866,49152864,4.65128
49631911,49152864,8.25864
49144834,49152866,8.31372
49152869,49152866,4.59812
49350933,49152866,8.31344
49144835,49152869,8.28204
49098062,49152869,4.51924
